question,ground_truth,source_documents,predictions
What programming languages should a software engineer know these days?,,"Job Description: Software Engineer / Developer (Graduate Python JavaScript) WFH / Cambridge to 60k Are you a bright, ambitious Software Engineer with a strong record of academic achievement looking for an opportunity to progress your career? You could be joining a tech start-up that are producing a cutting edge Digital Twins and Information Management platform for the construction industry and highways agencies. As a Software Engineer / Developer you'll join a small team, collaborating with the CEO, CTO, Chief Scientist and other world leading researchers to design and develop new features and enhancements on the core platform. You'll be using a range a technology,  primarily Python and JavaScript but will have access to a range of others and will be encouraged to learn and pick new things up, using the best tool for the job. Location / WFH:  You can work from home or go into the office in Cambridge as often as desired, it would be great to meet up with the team once a month. About
Job Description: Software Engineer / Developer (Graduate Python JavaScript) WFH / London to 60k Are you a bright, ambitious Software Engineer with a strong record of academic achievement looking for an opportunity to progress your career? You could be joining a tech start-up that are producing a cutting edge Digital Twins and Information Management platform for the construction industry and highways agencies. As a Software Engineer / Developer you'll join a small team, collaborating with the CEO, CTO, Chief Scientist and other world leading researchers to design and develop new features and enhancements on the core platform. You'll be using a range a technology,  primarily Python and JavaScript but will have access to a range of others and will be encouraged to learn and pick new things up, using the best tool for the job. Location / WFH:  You can work from home on a fulltime basis initially, as the company grows and opens a London office you'll be required to be there once a week.
Job Title: Software Engineer
","A software engineer should be proficient in at least one programming language, but it's recommended to have knowledge of multiple programming languages to be able to work on a variety of projects. Some of the most in-demand programming languages today include Python, Java, C++, JavaScript, and Ruby. It's also important for software engineers to be familiar with databases, frameworks, and libraries to create more efficient and effective code."
Please explain to me skills I need to learn to become a cloud engineer.,,"Job Description: Cloud Engineer Salary: 51,000  PackageLocation: Manchester(Hybrid)Large Pension Contribution, Annual Leave, Government Benefits, Internal Progression and Exciting projects to work on I'm currently working with an NHS trust based in the Manchester area who are looking for someone with strong knowledge of cloud infrastructure/architecture and how to build cloud services to join as a Cloud Engineer. The successful applicant will join a well-established  IT team to support with the trusts move from on-prem to a cloud environment! As the Cloud Engineer, you will be heavily involved in cloud  infrastructure projects across the trust, whilst being able to advise and recommend best ways to go forward with a cloud first mindset. The Cloud Engineer will benefit from a very strong work-life balance that includes flexible, hybrid working and great opportunities for training and development. Skills required for the Cloud Engineer are:- Knowledge  Understanding of On-Prem and Cloud
Job Description: The company: This company make a difference to the front-line safety of the North East. They have been going through a technical transformation to make the lives of their employees more efficient and protect vital data. They value innovation and proactive attitudes as  they are always looking for the best solutions. This company offer great training and progression plans and wants to support you in your career. This is a newer team that is looking to expand over the next few years, so there is an excellent opportunity for  you to define what this looks like, The role: As a cloud engineer, you will inform the designs intended to deliver the next generation of digital services for the business. Within the new cloud services, you will work towards architectural standards and aim to enhance existing capabilities. This role  will not just include lift and shift projects, you will be helping to re-design how applications can be set up and enhanced within the cloud
and provide timely resolution.Stay updated with the latest Azure technologies and trends, and recommend improvements to enhance efficiency and effectiveness. Requirements:  Bachelor's degree in Computer Science, Engineering, or related field.3 years proven experience working as a Cloud Engineer, with specific expertise in Azure.Strong understanding of Azure services such as Azure Virtual Machines, Azure SQL Database, Azure Storage, etc.Solid understanding of networking concepts and protocols.Excellent problem-solving skills and attention to detail.Strong communication and collaboration skills, with the ability to work effectively in a team environment. Benefits:  Bonus SchemeComprehensive health benefits package25 days holiday, including Bank HolidaysOpportunities for professional growth and developmentCollaborative and inclusive work environment If you are a passionate Cloud Engineer with expertise in Azure and a desire to make an impact, we encourage you to apply. Location:
","To become a cloud engineer, you need to learn the following skills:

1. Knowledge of cloud infrastructure and architecture: Understanding the cloud infrastructure and architecture is essential for cloud engineers to design and manage cloud services.

2. Cloud-specific technologies: Cloud-specific technologies like Azure, AWS, and Google Cloud Platform are essential for cloud engineers to work with cloud services.

3. Cloud-specific security: Cloud-specific security is important for cloud engineers to ensure the safety and security of cloud services.

4. Cloud-specific data storage: Cloud-specific data storage is important for cloud engineers to manage and store data in the cloud.

5. Cloud-specific network configuration: Cloud-specific network configuration is important for cloud engineers to configure and manage cloud networks.

6. Cloud-specific application development: Cloud-specific application development is important for cloud engineers to develop and deploy cloud applications.

7. Cloud-specific data analysis: Cloud-specific"
What are the responsibilities for a typical IT manager?,,"Job Description: IT Project Manager Our client is a reputable educational organisation who are current seeking an IT Project Manager to support the efficient delivery of IT infrastructure, digital products and services. Responsibilities include:  Project management: Project planning, resource allocation and project implementation that is in line with the organisation's standards and policiesCosts management: Planning and estimating costs, and determining budgetsTechnical management: Analyse, plan and develop requirements and standards in reference to scheduled projectsRisk management: Planning for and identifying potential risks, performing qualitative and quantitative risk analysis, and planning risk mitigation strategiesStakeholder management: Identifying relevant stakeholders, engaging with them and planning for meeting and exceeding stakeholder expectations through the project lifecycleHold regular technical team meetings to determine progress and address any questions or
Job Description: We are currently seeking a IT Manager to join a well-established, family-run SME based in Lisburn, NI. As an IT Manager you will play a pivotal role in ensuring our business runs smoothly and effectively at all times. Technology is utilised throughout our  client's full customer and supplier lifecycle, making effective management critical to our business operating successfully. Your duties will include troubleshooting and diagnosing computer hardware and software issues, setting up computer networks and assisting  colleagues with IT-related problems, ensuring all IT and telecommunications equipment works effectively and is repaired promptly if necessary, safeguarding company and customer data and assets through appropriate IT security, and setting our overall IT strategy,  spotting opportunities to improve our use of technology and optimise business performance.  Main Areas of Responsibility:  Technical Support: Act as the first point of contact for IT support within
Job Title: IT Manager
","
1. Technology strategy: Develop and implement IT strategies to meet the business's needs and goals.
2. Manage IT infrastructure: Oversee the installation, maintenance, and upgrading of IT systems and equipment.
3. IT security: Ensure the security of the company's data and networks.
4. Manage IT budget: Monitor and manage the IT budget, ensuring it is aligned with the company's goals.
5. Manage IT personnel: Hire, train, and supervise IT personnel.
6. Troubleshoot and diagnose hardware and software issues.
7. Keep up-to-date with the latest trends and developments in the IT industry.
8. Develop and maintain relationships with IT vendors and suppliers.
9. Maintain a high level of customer satisfaction by providing timely and efficient IT support.
10. Develop and manage IT projects as necessary."
What are examples of frameworks I would be working on as a Database Administrator?,,"Job Title: Database Administrator
Job Title: Database Administrator
Job Title: Database Administrator
","
As a Database Administrator, you may be working on frameworks such as MySQL, Oracle, SQL Server, and PostgreSQL. These frameworks are commonly used for managing databases and are essential in the role of a Database Administrator."
Can you explain some skills or qualifications to become a game developer?,,"developers, internal customers and development teams, suppliers and key Open Source Software projects to facilitate effective development  of games.Make contributions to major game engines through game optimisations to achieve optimal performance on devices.Produce high quality deliverables (code, technology prototypes, written reports) Contribute to the development of the Android framework for mobile Travel to client premises to provide on-site support when needed Opportunity for mentoring and technical leadership  of a small team of GameDev engineers Keep up to date on the latest developments with Mobile software/hardware platforms and understand their architectures and how to design and develop new applications for them.Domestic/international travel as required to support game developers, attend tradeshows and evangelise GameDev Skills and Qualifications What we are looking for: A degree in Computer Science, or a relevant area, or relevant industry experience Expert C and graphics
Job Description: Games Developer (Unity, C#, C) Salary - 60k  bonus  Manchester City Center - 3 days a week Join a leading provider of innovative gaming solutions. We're on the lookout for a talented Games Developer to join our team as we embark on an exciting new project. If you're passionate about gaming and possess expertise in Unity, C#, and C, we want to  hear from you. As a Games Developer, you'll be integral to the development of a brand new, upcoming project. Collaborate with our team to create captivating gaming experiences for desktop and mobile platforms, utilizing your skills in Unity, C#, and C, as well as upskilling  with new technologies. Responsibilities:  Develop high-quality games for our platform using Unity, C#, and C.Implement game mechanics and features to create engaging player experiences.Optimize game performance and troubleshoot technical issues.Stay updated on industry trends to enhance our gaming offerings. Requirements:  Bachelor's degree in Computer
and graphics into games, enhancing visual appeal and user engagement.Contribute to the entire game development lifecycle, from concept and design to deployment and maintenance.Stay updated on emerging technologies and best practices in game development to drive innovation and continuous improvement. Suggested Requirements:  Bachelor's degree in Computer Science, Game Dev, Software Engineering, or a related field.Minimum of 3 years of professional experience in game development, preferably within a game studio environment.Proficiency in React.js for front-end development and Node.js with if possible Colyseus.js framework for server-side development.Strong knowledge of C#.NET for API development and SQL for database management.Experience with multiplayer game development using Colyseus.js is highly desirable, but appreciate not many have this - so something similar.Solid understanding of animation and graphic design principles, with the ability to integrate them into
","
To become a game developer, you need to have a strong foundation in programming languages such as C, C++, and C#. You should also have experience in game engine development, graphics programming, and game design. Additionally, you should be familiar with game development tools such as Unity and Unreal Engine.

It's also important to have a strong understanding of game development concepts such as game mechanics, user interface design, and game physics. You should be able to develop games for different platforms such as desktop, mobile, and web.

Finally, it's important to have a strong portfolio of games and projects that demonstrate your skills and experience in game development. This can include personal projects, contributions to open source game engines, and professional projects."
What are the special skills a professional working in cybersecurity should have?,,"solutions.Conduct gap analysis on client systems, to identify current security posture versus current security best practicesWork within the security team to provide Cybersecurity advice and guidance, heavily focused on Microsoft 365 Cloud Security Solutions, Governance, and Compliance.Act as a mentor to junior members of the teams to monitor and respond to client cybersecurity incidents, and lead on the resolutionWork collaboratively with the Technical and Project teams. Skills Required for the Cybersecurity Consultant:  Knowledge of IAM, MFA, MDM and DLP technologiesDemonstrable experience leading on Information Risk, Compliance and Governance.Advanced knowledge of managing MS365 Cloud security solutions (Endpoint, Defender, Azure)Cyber Essentials Assessor status or prerequisites to achieve this.Demonstrable knowledge of applying security standards and frameworks across a range of industries, including but not limited to; Cyber Essentials, GDPR, ISO27001, NIST, CIS. If this role is
Job Description: Cyber Security Placement Programme - No Experience Required Are you looking to benefit from a new career in IT and Cybersecurity? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career  changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level IT and Cybersecurity staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experience as fully accredited training, which includes tutor support and mentoring, provides you with the skills, practical knowledge and qualifications for you to secure a professional job and career in IT.  You will also have the reassurance of a job guarantee (18K-35K) upon completion. Whether you are working full time, part time or are unemployed, this package has the flexibility to be completed at a pace that suits you and can be completed in a few
Job Description: Cyber Security Placement Programme - No Experience Required Are you looking to benefit from a new career in IT and Cybersecurity? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career  changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level IT and Cybersecurity staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experience as fully accredited training, which includes tutor support and mentoring, provides you with the skills, practical knowledge and qualifications for you to secure a professional job and career in IT.  You will also have the reassurance of a job guarantee (18K-35K) upon completion. Whether you are working full time, part time or are unemployed, this package has the flexibility to be completed at a pace that suits you and can be completed in a few
","1. Strong technical skills: In order to be a professional in cybersecurity, one must have a strong technical knowledge of various security tools and technologies.
2. Communication skills: A professional in cybersecurity should be able to communicate effectively with their team and other stakeholders.
3. Problem-solving skills: A professional in cybersecurity should be able to identify and solve complex problems.
4. Attention to detail: A professional in cybersecurity should be able to pay attention to the smallest details and take the necessary steps to ensure that everything is done correctly.
5. Critical thinking skills: A professional in cybersecurity should be able to think critically and make sound decisions in order to protect their organization.
6. Self-management skills: A professional in cybersecurity should be able to manage their time effectively, work independently and take ownership of their own projects.
7. Adaptability: A professional in cybersecurity should be able to adapt quickly to changes and new technologies.
8. Leadership skills: A professional in cybersecurity should"
What does a typical UX designer do?,,"Job Description: UX Designer A Senior UX Designer role at an exciting software development house who have been developing a wide range of products (browser, mobile apps, cloud projects). The company are expanding their UK operations exponentially and are hiring across all levels. The role of the UX Designer is to evolve existing products and adopt new technologies and modern UX practices, whilst playing an integral role in developing brand-new, ground-breaking solutions. Working in a growing team, the UX Designer will be working closely with Internal and External stakeholders (including product managers, Scrum masters, development teams and end users). You will be involved in research, definition and creation of solution-oriented  software as well as contributing to UX requirements / cross-product outputs. The skills of the UX designer includes but is not limited to, discovery, definition, research, workshopping user requirements for a better user journey, testing prototypes, end user
Job Title: UX Designer
Job Title: UX Designer
","A UX designer is responsible for creating user-friendly interfaces and experiences that align with the product's goals, while ensuring a consistent and seamless user journey. They collaborate with developers, product managers, and end-users to identify user needs, develop user flows, and create wireframes and prototypes to test their designs. The role requires a mix of technical and creative skills, including problem-solving, communication, and design thinking."
What do recruiters look for in an AI engineer?,,"Job Title: AI Engineer
Job Title: AI Engineer
Job Title: AI / Computer Vision Engineer
","
Recruiters typically look for candidates with a strong foundation in programming and mathematics, as well as experience with machine learning and data analysis. They also look for candidates who have worked on real-world projects and have a good understanding of the latest developments in the field. In addition, recruiters may look for candidates with strong communication skills, as they often need to work with other engineers and stakeholders."
"If I want to get a graduate role in game developing, what skills should I expand on?",,"developers, internal customers and development teams, suppliers and key Open Source Software projects to facilitate effective development  of games.Make contributions to major game engines through game optimisations to achieve optimal performance on devices.Produce high quality deliverables (code, technology prototypes, written reports) Contribute to the development of the Android framework for mobile Travel to client premises to provide on-site support when needed Opportunity for mentoring and technical leadership  of a small team of GameDev engineers Keep up to date on the latest developments with Mobile software/hardware platforms and understand their architectures and how to design and develop new applications for them.Domestic/international travel as required to support game developers, attend tradeshows and evangelise GameDev Skills and Qualifications What we are looking for: A degree in Computer Science, or a relevant area, or relevant industry experience Expert C and graphics
with the ability to integrate them into games.Self-motivated individual with excellent problem-solving skills and a passion for gaming.Ability to work collaboratively in a fast-paced environment and adapt to changing priorities.Excellent communication and teamwork skills. If you think this Web Game Developer role is a good fit for you apply now.
Job Description: Games Developer (Unity, C#, C) Salary - 60k  bonus  Manchester City Center - 3 days a week Join a leading provider of innovative gaming solutions. We're on the lookout for a talented Games Developer to join our team as we embark on an exciting new project. If you're passionate about gaming and possess expertise in Unity, C#, and C, we want to  hear from you. As a Games Developer, you'll be integral to the development of a brand new, upcoming project. Collaborate with our team to create captivating gaming experiences for desktop and mobile platforms, utilizing your skills in Unity, C#, and C, as well as upskilling  with new technologies. Responsibilities:  Develop high-quality games for our platform using Unity, C#, and C.Implement game mechanics and features to create engaging player experiences.Optimize game performance and troubleshoot technical issues.Stay updated on industry trends to enhance our gaming offerings. Requirements:  Bachelor's degree in Computer
","
1. Game design: This involves understanding the structure and mechanics of games, as well as designing new games and features.

2. Programming: You will need to be proficient in programming languages such as C++, C#, and Java to create games.

3. 3D modeling: This involves creating 3D models and animations for games.

4. Game engine: This involves understanding the inner workings of game engines and how to optimize them for performance.

5. Game testing: You will need to be able to test games and troubleshoot any problems.

6. Game design documentation: This involves creating documentation for game design, including user manuals and design guides.

7. Game physics: This involves understanding the physics of games and how to create realistic physics engines.

8. Game graphics: This involves creating graphics for games, including 2D and 3D graphics.

9. Game animation: This involves creating animations for games"
"Based on job descriptions, what does a software architect do?",,"Job Title: Software Architect
Job Title: Software Architect
Job Title: Software Architect
","A software architect is a professional who designs, develops, and maintains software systems to meet specific requirements. They are responsible for the overall architecture, design, and implementation of software solutions."
